"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
30343,293.26,1.0296e-006,0,388.55,293.26,1,7.1,7.1,0.275,2
30370,293,0.0039538,0,397.29,293,1,7.2,7.2,0.275,2
30481,291.96,0.091643,0,397.7,291.96,1,7.3,7.3,0.275,2
30467,292.07,0.22911,0,397.66,292.07,1,7.4,7.4,0.275,2
30463,292.09,0.36267,0,397.64,292.09,1,7.5,7.5,0.275,2
30084,295.72,0.31872,0,396.22,295.72,1,7.6,7.6,0.275,2
29417,302.11,0.27201,0,393.69,302.11,1,7.7,7.7,0.275,2
28131,231.54,-24.741,0,422.29,235.3,1,7.8,7.8,0.275,2
28036,233.49,-26.925,0,420.06,237.3,1,7.9,7.9,0.275,2
27945,235.85,-29.514,0,413.34,239.54,1,8,8,0.275,2
27837,238.39,-32.937,0,406.07,241.95,1,8.1,8.1,0.275,2
27703,241.02,-37.716,0,399.86,244.68,1,8.2,8.2,0.275,2
27521,243.49,-43.19,0,394.48,247.51,1,8.3,8.3,0.275,2
27242,244.94,-41.303,0,390.87,248.47,1,8.4,8.4,0.275,2
26780,243.93,-35.058,0,387.1,246.49,1,8.5,8.5,0.275,2
25936,237.8,-29.539,0,381.7,239.7,1,8.6,8.6,0.275,2
21807,180.69,-21.754,0,356.28,182.63,1,8.7,8.7,0.275,2
20138,149.95,-9.1738,0,339.9,151.55,1,8.8,8.8,0.275,2
10000,-3.3859e-012,-2.025e-011,0,278.75,2.0545e-011,1,8.9,8.9,0.275,2
10000,-3.5607e-012,-2.0021e-011,0,278.75,2.0575e-011,1,9,9,0.275,2
10000,-9.5078e-012,-1.9897e-011,0,278.75,2.2069e-011,1,9.1,9.1,0.275,2
10000,-6.1862e-012,-1.9838e-011,0,278.75,2.1167e-011,1,9.2,9.2,0.275,2
10000,-1.1338e-011,-1.9626e-011,0,278.75,2.2736e-011,1,9.3,9.3,0.275,2
10000,-1.4022e-011,-1.962e-011,0,278.75,2.4176e-011,1,9.4,9.4,0.275,2
10000,-1.4445e-011,-1.9776e-011,0,278.75,2.4516e-011,1,9.5,9.5,0.275,2
10000,-1.8967e-011,-2.0194e-011,0,278.75,2.8012e-011,1,9.6,9.6,0.275,2
10000,-1.4414e-011,-2.0629e-011,0,278.75,2.5262e-011,1,9.7,9.7,0.275,2
10000,-8.8471e-012,-2.0842e-011,0,278.75,2.2741e-011,1,9.8,9.8,0.275,2
10000,-6.1022e-012,-2.1183e-011,0,278.75,2.2157e-011,1,9.9,9.9,0.275,2
10000,-5.1257e-012,-2.1423e-011,0,278.75,2.2192e-011,1,10,10,0.275,2
