"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
30335,293.22,2.8118e-006,0,250.07,293.22,1,6.9628,6.7,1.34,1.34
30335,293.22,-4.5462e-007,0,250.29,293.22,1,7.0668,6.8,1.36,1.36
30345,293.42,3.3328e-005,0,253.27,293.42,1,7.1707,6.9,1.38,1.38
30331,293.11,0.00070411,0,298.27,293.11,1,7.2746,7,1.4,1.4
30338,293.13,0.006475,0,356.41,293.13,1,7.3785,7.1,1.42,1.42
30368,292.87,0.034835,0,387.8,292.87,1,7.4825,7.2,1.44,1.44
30411,292.47,0.1031,0,396.32,292.47,1,7.5864,7.3,1.46,1.46
30425,292.34,0.20327,0,397.33,292.34,1,7.6903,7.4,1.48,1.48
30450,292.1,0.29704,0,397.39,292.1,1,7.7942,7.5,1.5,1.5
30073,295.7,0.264,0,395.93,295.7,1,7.8982,7.6,1.52,1.52
29433,301.82,0.22405,0,393.6,301.82,1,8.0021,7.7,1.54,1.54
28882,285.49,-6.9215,0,399.85,286.43,1,8.106,7.8,1.56,1.56
28907,285.07,-9.7147,0,398.98,286,1,8.2099,7.9,1.58,1.58
28913,284.71,-14.419,0,396.89,285.68,1,8.3138,8,1.6,1.6
28921,284.13,-21.346,0,394.15,285.33,1,8.4178,8.1,1.62,1.62
28916,283.41,-30.236,0,390.98,285.23,1,8.5217,8.2,1.64,1.64
28898,282.54,-37.999,0,389.04,285.17,1,8.6256,8.3,1.66,1.66
28868,281.42,-39.945,0,390.15,284.27,1,8.7295,8.4,1.68,1.68
28815,280.09,-36.235,0,389.64,282.44,1,8.8335,8.5,1.7,1.7
28687,277.89,-30.53,0,389.02,279.58,1,8.9374,8.6,1.72,1.72
28218,270.2,-22.911,0,386.34,271.24,1,9.0413,8.7,1.74,1.74
27748,261.76,-11.002,0,383.31,262.15,1,9.1452,8.8,1.76,1.76
11325,32.442,-0.20194,0,288.86,32.449,1,9.2492,8.9,1.78,1.78
10000,0.0014715,-5.0193e-006,0,278.75,0.0014716,1,9.3531,9,1.8,1.8
10000,3.1305e-008,-1.0825e-010,0,278.75,3.1307e-008,1,9.457,9.1,1.82,1.82
10000,2.6847e-012,-2.6695e-012,0,278.75,3.8787e-012,1,9.5609,9.2,1.84,1.84
10000,1.7512e-012,-2.6709e-012,0,278.75,3.1959e-012,1,9.6648,9.3,1.86,1.86
10000,2.2806e-012,-2.6377e-012,0,278.75,3.4912e-012,1,9.7688,9.4,1.88,1.88
10000,2.0991e-012,-2.6336e-012,0,278.75,3.37e-012,1,9.8727,9.5,1.9,1.9
10000,2.1699e-012,-2.6273e-012,0,278.75,3.4084e-012,1,9.9766,9.6,1.92,1.92
10000,2.3099e-012,-2.5844e-012,0,278.75,3.4706e-012,1,10.081,9.7,1.94,1.94
10000,1.9778e-012,-2.4939e-012,0,278.75,3.1894e-012,1,10.184,9.8,1.96,1.96
10000,-1.3044e-013,-2.4624e-012,0,278.75,2.4953e-012,1,10.288,9.9,1.98,1.98
10000,-1.2226e-012,-2.5007e-012,0,278.75,2.7835e-012,1,10.392,10,2,2
