"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1e+005,1.7065e-012,4.1478e-012,0,348.43,5.4611e-012,1,0,0,0.275,2
1e+005,1.2366e-012,3.7822e-012,6.3233e-020,348.43,4.8883e-012,1,0.1,0.1,0.275,2
1e+005,1.1406e-012,3.3977e-012,-4.4841e-021,348.43,4.5477e-012,1,0.2,0.2,0.275,2
1e+005,8.3044e-013,3.0788e-012,0,348.43,3.9221e-012,1,0.3,0.3,0.275,2
1e+005,4.5086e-013,2.7702e-012,1.028e-018,348.43,3.2984e-012,1,0.4,0.4,0.275,2
1e+005,-8.3006e-015,2.6033e-012,1.2812e-018,348.43,2.9185e-012,1,0.5,0.5,0.275,2
1e+005,8.3887e-014,2.4295e-012,6.8888e-018,348.43,2.6987e-012,1,0.6,0.6,0.275,2
1e+005,-2.952e-013,2.3912e-012,-6.3755e-018,348.43,2.5105e-012,1,0.7,0.7,0.275,2
1e+005,-7.7866e-013,2.2686e-012,-4.375e-018,348.43,2.5268e-012,1,0.8,0.8,0.275,2
1e+005,-5.1282e-013,2.164e-012,5.2813e-018,348.43,2.3521e-012,1,0.9,0.9,0.275,2
1e+005,2.7278e-013,2.0079e-012,5.6648e-018,348.43,2.3213e-012,1,1,1,0.275,2
1e+005,6.0654e-012,2.0657e-012,1.0739e-020,348.43,8.1052e-012,1,1.1,1.1,0.275,2
1e+005,2.1632e-010,1.131e-011,-7.0216e-018,348.43,2.397e-010,1,1.2,1.2,0.275,2
1e+005,6.2976e-009,3.1537e-010,2.6103e-023,348.43,6.9255e-009,1,1.3,1.3,0.275,2
1e+005,1.5451e-007,8.4391e-009,-2.1447e-018,348.43,1.6928e-007,1,1.4,1.4,0.275,2
1e+005,3.1544e-006,1.8681e-007,5.0479e-021,348.43,3.4433e-006,1,1.5,1.5,0.275,2
1e+005,5.2805e-005,3.3592e-006,-1.6205e-018,348.43,5.7417e-005,1,1.6,1.6,0.275,2
1e+005,0.00071197,4.8169e-005,-5.0261e-020,348.43,0.00077065,1,1.7,1.7,0.275,2
99997,0.0077026,0.00054834,-5.3497e-023,348.43,0.0082886,1,1.8,1.8,0.275,2
99977,0.063169,0.0046578,-3.0704e-018,348.41,0.06741,1,1.9,1.9,0.275,2
99859,0.37911,0.028301,-1.763e-017,348.29,0.39917,1,2,2,0.275,2
99399,1.6139,0.11786,1.6056e-017,347.83,1.66,1,2.1,2.1,0.275,2
98197,4.8539,0.33207,7.0499e-021,346.62,4.8948,1,2.2,2.2,0.275,2
96017,10.803,0.66869,2.507e-017,344.39,10.86,1,2.3,2.3,0.275,2
93015,19.173,1.0777,-2.3398e-017,341.27,19.258,1,2.4,2.4,0.275,2
89554,29.099,1.5345,-8.8361e-018,337.58,29.221,1,2.5,2.5,0.275,2
85918,39.873,2.0354,-8.6218e-018,333.6,40.04,1,2.6,2.6,0.275,2
82256,51.105,2.5783,4.9722e-018,329.46,51.327,1,2.7,2.7,0.275,2
78634,62.612,3.1607,0,325.25,62.897,1,2.8,2.8,0.275,2
75084,74.301,3.7812,4.0747e-017,320.98,74.658,1,2.9,2.9,0.275,2
71620,86.123,4.4388,3.6763e-020,316.67,86.561,1,3,3,0.275,2
68252,98.043,5.1323,-1.1935e-017,312.34,98.574,1,3.1,3.1,0.275,2
64983,110.04,5.8596,1.5528e-017,308,110.67,1,3.2,3.2,0.275,2
61819,122.09,6.618,1.358e-017,303.64,122.83,1,3.3,3.3,0.275,2
58760,134.18,7.4038,1.1044e-017,299.28,135.04,1,3.4,3.4,0.275,2
55809,146.28,8.2124,1.1168e-017,294.91,147.28,1,3.5,3.5,0.275,2
52966,158.39,9.0386,1.9665e-017,290.55,159.54,1,3.6,3.6,0.275,2
50231,170.49,9.8767,0,286.2,171.79,1,3.7,3.7,0.275,2
47606,182.57,10.721,-3.8767e-017,281.85,184.03,1,3.8,3.8,0.275,2
45088,194.61,11.564,-3.7386e-017,277.56,196.24,1,3.9,3.9,0.275,2
42679,206.59,12.398,2.7574e-017,273.26,208.4,1,4,4,0.275,2
40377,218.5,13.217,8.5295e-021,269,220.5,1,4.1,4.1,0.275,2
38183,230.32,14.01,2.2667e-017,264.76,232.52,1,4.2,4.2,0.275,2
36097,242.02,14.766,3.5311e-017,260.59,244.41,1,4.3,4.3,0.275,2
34121,253.57,15.472,2.2971e-017,256.49,256.16,1,4.4,4.4,0.275,2
32258,264.91,16.107,-5.3838e-019,252.46,267.71,1,4.5,4.5,0.275,2
30513,275.98,16.648,-1.6763e-020,248.54,278.99,1,4.6,4.6,0.275,2
