"p","U:0","U:1","U:2","T","mag(U)","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
28896,286.67,17.057,-6.4645e-017,244.76,289.89,1,4.7,4.7,0.275,2
27421,296.83,17.278,1.2411e-020,241.18,300.24,1,4.8,4.8,0.275,2
26107,306.24,17.233,-2.3565e-020,237.87,309.84,1,4.9,4.9,0.275,2
24979,314.64,16.805,1.3707e-017,234.94,318.41,1,5,5,0.275,2
24057,321.72,15.84,2.449e-017,232.47,325.63,1,5.1,5.1,0.275,2
23354,327.19,14.136,3.0509e-017,230.58,331.19,1,5.2,5.2,0.275,2
22883,330.67,11.439,6.8425e-023,229.41,334.69,1,5.3,5.3,0.275,2
22665,331.64,7.489,-2.1857e-017,229.09,335.58,1,5.4,5.4,0.275,2
22691,330.09,2.3713,-1.6408e-020,229.63,333.9,1,5.5,5.5,0.275,2
22884,326.74,-3.4286,-1.5854e-017,230.66,330.4,1,5.6,5.6,0.275,2
23282,321.13,-10.1,-1.6956e-020,232.33,324.65,1,5.7,5.7,0.275,2
24006,312.4,-18.209,3.4914e-019,234.99,315.79,1,5.8,5.8,0.275,2
24801,303.92,-25.672,-2.084e-017,237.68,307.31,1,5.9,5.9,0.275,2
25336,298.8,-30.218,3.7596e-017,239.27,302.34,1,6,6,0.275,2
25600,296.34,-32.624,3.5556e-017,239.99,300.02,1,6.1,6.1,0.275,2
25747,294.81,-34.071,-3.8818e-017,240.37,298.64,1,6.2,6.2,0.275,2
25846,293.57,-35.041,-3.8602e-017,240.64,297.51,1,6.3,6.3,0.275,2
25915,292.32,-35.729,7.9643e-018,240.84,296.36,1,6.4,6.4,0.275,2
25976,290.89,-36.186,3.0907e-017,241.04,295.02,1,6.5,6.5,0.275,2
26092,288.98,-36.845,1.7818e-017,241.51,293.2,1,6.6,6.6,0.275,2
28088,270.92,-50.526,2.8406e-017,248.19,276.24,1,6.7,6.7,0.275,2
30981,256.77,-62.648,3.8808e-017,254.64,264.31,1,6.8,6.8,0.275,2
30410,264.37,-61.267,-2.5137e-017,281.87,271.42,1,6.9,6.9,0.275,2
30334,267.37,-63.464,4.6304e-017,337.36,274.93,1,7,7,0.275,2
30082,268.16,-63.086,-1.5372e-017,376.07,275.92,1,7.1,7.1,0.275,2
29665,264.22,-58.366,-6.6441e-017,391.28,271.68,1,7.2,7.2,0.275,2
28905,310.6,-93.527,0,382.68,324.38,1,7.3,7.3,0.275,2
28616,311.78,-91.344,0,383.67,324.89,1,7.4,7.4,0.275,2
29203,280.67,-74.392,1.2341e-019,419.98,290.39,1,7.5,7.5,0.275,2
29255,281.07,-66.714,-1.0706e-016,421.19,288.92,1,7.6,7.6,0.275,2
29228,280.62,-59.14,-3.8865e-017,423.61,286.85,1,7.7,7.7,0.275,2
29111,279.11,-50.515,-3.6173e-017,426.41,283.77,1,7.8,7.8,0.275,2
28942,274.38,-38.611,6.7501e-018,425.71,277.38,1,7.9,7.9,0.275,2
28715,266.42,-24.36,5.8301e-017,414.54,268.27,1,8,8,0.275,2
28391,259,-14.597,1.4473e-016,405.94,260.58,1,8.1,8.1,0.275,2
27976,253.77,-12.121,6.3325e-018,400.65,255.35,1,8.2,8.2,0.275,2
27500,249.14,-12.573,2.4217e-017,397.25,250.77,1,8.3,8.3,0.275,2
26927,244.06,-12.068,8.4637e-017,393.59,245.61,1,8.4,8.4,0.275,2
26232,237.69,-10.094,-3.9969e-017,388.82,238.99,1,8.5,8.5,0.275,2
25374,229.41,-7.5567,3.9441e-017,383.19,230.39,1,8.6,8.6,0.275,2
24181,217.21,-5.3896,1.0924e-016,375.46,217.87,1,8.7,8.7,0.275,2
20581,170.83,-9.373,6.6921e-017,352.96,171.19,1,8.8,8.8,0.275,2
16442,99.275,-10.851,-7.2792e-018,319.71,100.62,1,8.9,8.9,0.275,2
11236,27.092,-0.65725,0,287.83,27.29,1,9,9,0.275,2
10000,0.002641,-2.5167e-005,0,278.75,0.0026434,1,9.1,9.1,0.275,2
10000,8.8602e-008,-4.597e-010,-2.8395e-017,278.75,8.8606e-008,1,9.2,9.2,0.275,2
10000,2.0034e-012,2.3264e-013,-2.7808e-017,278.75,2.4479e-012,1,9.3,9.3,0.275,2
10000,-1.5455e-012,1.5058e-013,0,278.75,1.5584e-012,1,9.4,9.4,0.275,2
10000,-9.6255e-013,1.5597e-013,4.671e-018,278.75,9.8954e-013,1,9.5,9.5,0.275,2
10000,-1.458e-012,8.7938e-014,-6.475e-018,278.75,1.4623e-012,1,9.6,9.6,0.275,2
10000,-1.7015e-012,-9.6508e-015,-1.0868e-017,278.75,1.7024e-012,1,9.7,9.7,0.275,2
10000,-1.2994e-012,1.289e-014,-1.3403e-018,278.75,1.302e-012,1,9.8,9.8,0.275,2
10000,-1.6831e-012,-2.4782e-015,-6.1444e-019,278.75,1.688e-012,1,9.9,9.9,0.275,2
10000,-2.1511e-012,-2.5254e-014,0,278.75,2.1513e-012,1,10,10,0.275,2
